User_ID,Distance_To_Store_Meters,Is_Within_Geofence,Push_Notifications_Count,Days_Since_Last_Visit,Offer_Discount_Pct,Historical_Spend_USD,Conversion_Outcome
USR_000138,135,1,4,2,10,165.4,1
USR_000139,406,0,1,1,10,26.68,1
USR_000140,258,0,4,6,30,59.47,0
USR_000141,143,1,5,15,30,77.81,1
USR_000142,27,1,4,1,10,87.5,1
USR_000143,287,0,2,9,25,122.06,1
USR_000144,125,1,1,7,10,114.98,1
USR_000145,228,0,5,7,15,60.82,1
USR_000146,361,0,1,40,15,97.25,0
USR_000147,457,0,2,6,15,166.86,1
USR_000148,168,1,1,66,10,121.97,1
USR_000149,143,1,1,10,20,145.86,1
USR_000150,76,1,4,25,20,58.94,1
USR_000151,473,0,1,6,30,110.76,1
USR_000152,927,0,2,1,15,152.44,0
USR_000153,507,0,2,1,15,124.02,1
USR_000154,584,0,3,11,15,73.62,0
USR_000155,136,1,4,37,10,136.98,1
USR_000156,346,0,3,1,10,119.95,1
USR_000157,432,0,3,16,20,101.55,1
USR_000158,99,1,4,11,10,143.42,1
USR_000159,718,0,1,14,15,80.46,0
USR_000160,62,1,1,3,30,106.22,1
USR_000161,645,0,2,1,10,110.18,1
USR_000162,62,1,3,1,15,155.08,1
USR_000163,104,1,3,3,15,123.85,1
USR_000164,350,0,3,3,30,97.06,1
USR_000165,263,0,4,1,25,89.41,1
USR_000166,182,1,5,4,10,55.93,0
USR_000167,700,0,2,10,10,83.78,0
USR_000168,78,1,1,41,10,117.39,1
USR_000169,221,0,2,35,10,36.67,1
USR_000170,382,0,2,4,10,115.75,0
USR_000171,308,0,6,0,10,75.17,0
USR_000172,147,1,2,76,15,158.98,1
USR_000173,152,1,3,9,30,109.91,1
USR_000174,453,0,1,53,25,117.0,0
USR_000175,467,0,2,10,10,72.27,0
USR_000176,314,0,2,30,20,92.19,0
USR_000177,121,1,4,8,30,108.62,1
USR_000178,156,1,3,13,25,138.67,1
USR_000179,245,0,3,10,15,109.87,0
USR_000180,273,0,5,3,10,95.02,0
USR_000181,371,0,4,20,20,86.22,0
USR_000182,212,0,2,0,20,130.25,1
USR_000183,446,0,2,6,10,108.35,1
USR_000184,442,0,3,28,10,64.25,0
USR_000185,597,0,4,9,20,130.4,0
USR_000186,254,0,5,1,25,201.61,0
USR_000187,318,0,5,3,10,100.39,1
USR_000188,225,0,6,1,30,131.22,1
USR_000189,122,1,2,4,10,117.42,1
USR_000190,913,0,3,2,15,121.27,0
USR_000191,548,0,2,17,10,200.06,0
USR_000192,436,0,2,15,10,65.04,0
USR_000193,247,0,4,2,10,130.85,1
USR_000194,113,1,3,8,15,120.94,1
USR_000195,490,0,4,4,30,57.64,0
USR_000196,222,0,1,5,10,140.8,1
USR_000197,338,0,4,12,15,35.85,0
USR_000198,155,1,2,32,15,150.59,1
USR_000199,300,0,1,31,30,107.67,1
USR_000200,164,1,2,7,10,124.43,1
USR_000201,169,1,4,6,15,136.82,1
USR_000202,297,0,4,10,10,42.21,1
USR_000203,61,1,1,8,30,146.19,1
USR_000204,64,1,1,0,20,141.74,1
USR_000205,135,1,4,12,15,110.3,1
USR_000206,210,0,1,12,10,153.03,0
USR_000207,455,0,2,8,10,194.87,1
USR_000208,220,0,2,7,20,196.1,1
USR_000209,246,0,4,39,15,203.86,0
USR_000210,198,1,6,12,10,53.39,1
USR_000211,317,0,4,23,15,110.64,1
USR_000212,121,1,3,43,30,125.17,1
USR_000213,229,0,3,23,10,117.5,1
USR_000214,336,0,3,40,30,164.22,1
USR_000215,295,0,1,19,20,60.28,1
USR_000216,252,0,3,2,10,77.5,0
USR_000217,254,0,4,3,25,102.4,1
USR_000218,359,0,1,3,20,127.42,1
USR_000219,941,0,5,5,15,121.49,0
USR_000220,128,1,1,6,20,132.55,1
USR_000221,959,0,1,23,10,144.44,0
USR_000222,123,1,1,6,20,156.18,1
USR_000223,23,1,3,18,20,147.42,1
USR_000224,161,1,1,32,10,109.19,1
USR_000225,322,0,1,1,20,104.1,1
USR_000226,817,0,4,0,20,97.81,1
USR_000227,113,1,2,30,10,185.3,1
USR_000228,357,0,5,3,10,64.37,1
USR_000229,71,1,2,2,15,145.59,0
USR_000230,798,0,2,4,15,112.11,0
USR_000231,555,0,1,2,25,239.98,1
USR_000232,169,1,4,22,15,70.01,1
USR_000233,614,0,1,14,20,69.33,0
USR_000234,228,0,6,2,15,205.83,1
USR_000235,574,0,1,12,10,87.28,0
USR_000236,251,0,1,3,20,130.73,1
USR_000237,259,0,2,3,25,26.48,1
USR_000238,172,1,3,12,15,121.14,1
USR_000239,391,0,5,15,20,102.47,1
USR_000240,274,0,2,5,20,133.0,1
USR_000241,363,0,4,20,15,103.38,1
USR_000242,55,1,4,25,10,103.52,0
USR_000243,588,0,2,34,25,186.44,1
USR_000244,686,0,1,13,25,166.32,1
USR_000245,273,0,2,3,25,128.79,1
USR_000246,899,0,4,19,25,179.84,0
USR_000247,767,0,1,1,10,170.33,0
USR_000248,396,0,1,2,15,165.18,0
USR_000249,619,0,2,25,10,199.52,0
USR_000250,516,0,4,33,10,122.68,0
USR_000251,40,1,3,0,20,155.03,1
USR_000252,201,0,2,5,15,151.37,0
USR_000253,416,0,1,13,10,91.36,1
USR_000254,716,0,1,39,15,135.92,1
USR_000255,66,1,3,11,30,142.25,1
USR_000256,43,1,3,24,10,147.86,1
USR_000257,239,0,2,35,15,63.17,1
USR_000258,25,1,2,10,15,41.25,1
USR_000259,233,0,1,18,10,128.28,1
USR_000260,327,0,3,15,30,120.9,1
USR_000261,108,1,2,15,20,151.11,1
USR_000262,238,0,1,10,10,142.49,1
USR_000263,484,0,2,13,15,121.28,1
USR_000264,160,1,4,11,15,54.51,1
USR_000265,125,1,4,14,10,94.27,1
USR_000266,229,0,5,9,10,123.54,1
USR_000267,98,1,1,3,15,109.84,1
USR_000268,856,0,1,16,10,106.18,0
USR_000269,256,0,1,6,10,132.62,1
USR_000270,137,1,3,1,15,137.58,1
USR_000271,293,0,4,26,15,187.5,1
USR_000272,228,0,5,2,10,116.75,1
USR_000273,209,0,4,10,20,156.9,0
USR_000274,160,1,3,17,10,121.86,1
USR_000275,154,1,6,14,10,91.34,1
USR_000276,56,1,2,2,10,103.85,1
USR_000277,619,0,2,3,20,116.26,1
USR_000278,379,0,3,2,20,92.67,0
USR_000279,315,0,2,1,10,111.86,1
USR_000280,226,0,2,4,15,164.41,1
USR_000281,106,1,4,10,20,97.54,0
USR_000282,130,1,2,2,10,60.69,1
USR_000283,63,1,3,49,20,138.64,1
USR_000284,144,1,3,16,15,135.94,1
USR_000285,93,1,3,12,10,126.79,1
USR_000286,739,0,4,16,25,139.86,1
USR_000287,462,0,4,8,20,69.75,0
USR_000288,265,0,1,8,15,116.96,0
USR_000289,117,1,2,30,25,91.17,1
USR_000290,98,1,3,17,10,193.66,1
USR_000291,214,0,3,12,10,112.78,0
USR_000292,475,0,6,41,30,125.59,0
USR_000293,65,1,4,15,10,16.91,1
USR_000294,375,0,3,7,20,36.42,1
USR_000295,143,1,4,0,30,185.1,1
USR_000296,167,1,1,6,10,118.81,1
USR_000297,259,0,3,36,30,92.71,1
USR_000298,121,1,2,0,15,96.21,1
USR_000299,206,0,5,2,30,128.7,1
USR_000300,112,1,2,23,10,129.3,1
USR_000301,154,1,4,6,15,98.35,1
USR_000302,426,0,1,2,30,128.23,1
USR_000303,269,0,2,23,10,94.43,0
USR_000304,425,0,2,11,10,134.35,1
USR_000305,142,1,3,11,10,170.46,1
USR_000306,377,0,1,4,30,104.67,1
USR_000307,48,1,2,15,10,123.82,1
USR_000308,259,0,4,27,10,106.63,1
USR_000309,395,0,3,19,20,24.91,0
USR_000310,46,1,3,13,15,160.45,1
USR_000311,143,1,4,6,15,95.7,1
USR_000312,259,0,2,27,20,99.15,1
USR_000313,499,0,2,11,20,139.93,1
USR_000314,154,1,1,30,15,197.08,1
USR_000315,367,0,3,4,30,152.71,0
USR_000316,645,0,3,14,10,110.08,0
USR_000317,379,0,1,38,30,152.15,1
USR_000318,212,0,1,6,10,142.96,1
USR_000319,328,0,1,42,10,115.24,0
USR_000320,150,1,4,6,20,163.67,1
USR_000321,267,0,5,8,25,154.9,0
USR_000322,221,0,3,22,15,201.21,1
USR_000323,321,0,1,4,10,103.97,0
USR_000324,178,1,5,17,15,123.1,1
USR_000325,334,0,3,4,30,195.42,1
USR_000326,177,1,2,12,15,87.77,1
USR_000327,459,0,2,20,10,105.16,0
USR_000328,192,1,3,0,15,108.91,1
USR_000329,26,1,2,1,15,128.29,1
USR_000330,101,1,2,38,10,160.76,1
USR_000331,253,0,3,23,25,144.37,1
USR_000332,735,0,4,29,20,71.82,0
USR_000333,447,0,2,8,10,135.39,1
USR_000334,19,1,3,17,30,165.72,1
USR_000335,59,1,3,89,15,167.76,1
USR_000336,543,0,3,7,20,235.18,1
USR_000337,393,0,1,26,15,163.16,0
USR_000338,997,0,3,1,30,53.85,0
USR_000339,171,1,6,10,25,120.61,1
USR_000340,118,1,1,5,10,103.69,1
USR_000341,264,0,1,10,10,104.68,0
USR_000342,168,1,2,1,15,114.18,1
USR_000343,509,0,3,6,15,152.34,0
USR_000344,163,1,3,1,15,97.18,1
USR_000345,201,0,2,8,15,111.22,1
USR_000346,104,1,6,8,25,44.1,1
USR_000347,427,0,2,5,10,42.6,1
USR_000348,110,1,2,41,10,143.72,0
USR_000349,338,0,2,1,15,146.7,0
USR_000350,818,0,3,24,10,122.54,1
USR_000351,39,1,3,6,15,185.73,1
USR_000352,666,0,4,3,15,134.39,0
USR_000353,308,0,2,4,20,47.02,1
USR_000354,89,1,2,32,10,157.16,1
USR_000355,271,0,3,24,20,40.89,1
USR_000356,418,0,2,0,10,199.86,1
USR_000357,126,1,4,2,20,182.53,1
USR_000358,352,0,2,15,10,209.67,1
USR_000359,702,0,4,5,25,172.6,0
USR_000360,163,1,3,35,25,161.6,1
USR_000361,103,1,4,21,15,180.6,1
USR_000362,226,0,2,29,30,129.3,1
USR_000363,260,0,2,2,15,70.05,1
USR_000364,527,0,2,2,25,157.74,1
USR_000365,220,0,1,37,10,179.65,1
USR_000366,176,1,3,7,10,190.63,1
USR_000367,100,1,5,7,25,70.35,1
USR_000368,46,1,3,16,10,10.0,1
USR_000369,74,1,2,7,20,152.86,1
USR_000370,73,1,4,29,20,161.03,1
USR_000371,203,0,4,44,30,58.06,1
USR_000372,57,1,3,5,30,101.43,1
USR_000373,239,0,2,3,15,125.13,0
USR_000374,806,0,1,1,20,109.98,0
USR_000375,537,0,2,3,10,71.13,1
USR_000376,201,0,4,2,10,164.56,1
USR_000377,1152,0,4,0,15,126.11,0
USR_000378,261,0,2,0,10,138.35,0
USR_000379,290,0,2,9,10,152.67,1
USR_000380,223,0,2,17,10,205.56,1
USR_000381,243,0,3,57,10,104.58,1
USR_000382,158,1,3,2,20,180.0,1
USR_000383,203,0,1,16,10,147.69,1
USR_000384,668,0,3,11,25,86.66,0
USR_000385,577,0,3,9,10,122.83,0
USR_000386,25,1,2,17,10,167.11,1
USR_000387,64,1,5,3,15,124.86,1
USR_000388,127,1,2,5,20,155.29,1
USR_000389,478,0,2,6,20,103.38,0
USR_000390,585,0,2,2,10,56.32,1
USR_000391,417,0,3,9,15,64.64,0
USR_000392,88,1,1,1,25,106.69,1
USR_000393,161,1,1,5,15,159.27,1
USR_000394,357,0,3,1,15,141.53,1
USR_000395,206,0,2,0,20,149.5,1
USR_000396,184,1,3,6,15,87.95,1
USR_000397,186,1,2,13,15,100.99,1
USR_000398,548,0,2,2,20,79.88,1
USR_000399,383,0,3,70,30,91.89,1
USR_000400,194,1,2,4,15,187.23,0
USR_000401,318,0,3,0,10,143.15,1
USR_000402,77,1,4,0,30,102.03,1
USR_000403,161,1,3,15,20,81.6,0
USR_000404,513,0,5,15,20,81.51,0
USR_000405,53,1,1,32,20,105.56,1
USR_000406,386,0,3,1,20,156.81,1
USR_000407,24,1,2,6,20,66.84,1
USR_000408,743,0,4,30,20,181.97,1
USR_000409,158,1,3,22,30,189.02,1
USR_000410,335,0,3,3,15,130.53,1
USR_000411,272,0,3,30,10,130.46,1
USR_000412,280,0,2,15,15,148.83,0
USR_000413,314,0,4,4,20,56.11,1
USR_000414,43,1,4,0,15,48.08,1
USR_000415,284,0,1,9,25,130.05,1
USR_000416,216,0,4,17,10,67.22,1
USR_000417,159,1,2,4,20,88.62,1
USR_000418,127,1,4,2,10,121.85,0
USR_000419,289,0,2,1,20,45.5,1
USR_000420,104,1,4,25,15,147.33,0
USR_000421,506,0,3,0,30,127.25,1
USR_000422,353,0,2,13,20,182.92,1
USR_000423,302,0,5,20,20,49.31,1
USR_000424,492,0,2,21,10,115.14,0
USR_000425,36,1,1,14,20,83.49,1
USR_000426,75,1,3,14,15,167.89,1
USR_000427,364,0,1,8,15,150.95,1
USR_000428,134,1,2,7,20,159.8,1
USR_000429,149,1,2,2,10,134.53,1
USR_000430,64,1,1,10,10,107.84,1
USR_000431,104,1,5,1,15,138.73,1
USR_000432,514,0,4,8,20,97.96,1
USR_000433,358,0,2,18,10,171.9,1
USR_000434,287,0,2,8,15,77.84,1
USR_000435,154,1,3,9,15,126.46,1
USR_000436,274,0,2,25,15,128.96,0
USR_000437,545,0,4,14,10,112.53,0
USR_000438,137,1,4,1,15,120.56,1
USR_000439,243,0,3,10,10,136.04,0
USR_000440,773,0,1,6,10,99.5,0
USR_000441,413,0,2,3,10,147.45,0
USR_000442,156,1,5,14,15,83.67,1
USR_000443,390,0,2,6,10,68.6,0
USR_000444,52,1,6,20,30,53.31,0
USR_000445,235,0,2,12,20,68.71,0
USR_000446,390,0,3,1,15,135.4,1
USR_000447,331,0,3,6,15,115.04,1
USR_000448,387,0,4,4,15,131.04,1
USR_000449,448,0,3,2,15,113.25,1
USR_000450,349,0,5,22,25,48.43,1
USR_000451,342,0,2,6,10,138.22,1
USR_000452,292,0,2,13,10,94.1,1
USR_000453,93,1,5,29,20,114.91,1
USR_000454,514,0,1,10,30,207.76,0
USR_000455,242,0,4,4,20,67.57,0
USR_000456,406,0,2,21,10,132.79,0
USR_000457,479,0,1,8,25,181.46,0
USR_000458,162,1,2,11,20,137.33,1
USR_000459,174,1,3,32,10,111.63,1
USR_000460,194,1,2,9,10,166.33,0
USR_000461,580,0,2,5,20,153.98,1
USR_000462,113,1,1,18,10,225.88,1
USR_000463,647,0,4,2,15,18.73,1
USR_000464,290,0,2,34,10,155.54,1
USR_000465,305,0,3,34,15,91.82,0
USR_000466,464,0,1,12,10,170.38,1
USR_000467,266,0,1,2,15,70.81,1
USR_000468,518,0,2,8,25,222.13,1
USR_000469,162,1,2,7,15,64.92,1
USR_000470,634,0,2,4,25,55.85,1
USR_000471,173,1,3,2,15,31.28,1
USR_000472,650,0,3,4,20,55.83,1
USR_000473,177,1,1,11,15,144.19,1
USR_000474,199,1,1,16,10,198.23,1
USR_000475,101,1,3,54,15,61.75,1
USR_000476,128,1,4,3,10,121.89,1
USR_000477,243,0,3,3,10,46.64,1
USR_000478,298,0,2,1,15,10.0,1
USR_000479,493,0,2,39,15,96.2,0
USR_000480,210,0,2,6,15,198.77,1
USR_000481,331,0,2,36,15,10.0,1
USR_000482,283,0,1,30,20,142.01,0
USR_000483,358,0,5,0,15,55.83,1
USR_000484,145,1,1,4,20,67.98,1
USR_000485,160,1,4,5,25,104.4,1
USR_000486,145,1,1,4,15,130.73,1
USR_000487,558,0,1,7,15,49.93,1
USR_000488,638,0,3,9,20,133.18,0
USR_000489,154,1,5,19,15,138.66,1
USR_000490,157,1,4,4,10,74.3,1
USR_000491,393,0,2,4,10,81.33,1
USR_000492,685,0,1,12,10,71.57,1
USR_000493,783,0,5,2,20,179.59,0
USR_000494,149,1,3,8,10,140.26,1
USR_000495,182,1,4,4,25,98.85,1
USR_000496,309,0,5,3,20,115.45,0
USR_000497,320,0,2,22,20,179.54,1
USR_000498,217,0,3,17,25,169.17,0
USR_000499,125,1,3,4,15,185.47,1
USR_000500,243,0,3,7,10,137.06,1
USR_000501,783,0,4,2,30,123.08,0
USR_000502,162,1,3,0,30,51.75,1
USR_000503,295,0,5,12,10,153.83,1
USR_000504,1128,0,2,6,20,195.02,0
USR_000505,160,1,2,3,10,98.45,1
USR_000506,406,0,2,1,10,183.63,0
USR_000507,805,0,5,15,20,102.59,0
USR_000508,382,0,4,4,10,155.49,0
USR_000509,532,0,3,33,25,139.0,0
USR_000510,444,0,3,2,15,96.89,1
USR_000511,361,0,4,3,20,103.58,1
USR_000512,624,0,1,26,10,91.63,1
USR_000513,397,0,1,11,25,73.24,1
USR_000514,219,0,2,1,10,133.12,1
USR_000515,279,0,1,11,15,92.0,0
USR_000516,328,0,5,5,20,136.23,1
USR_000517,181,1,3,18,10,176.78,1
USR_000518,288,0,4,1,30,123.24,0
USR_000519,259,0,4,34,15,100.0,1
USR_000520,396,0,4,9,20,163.27,1
USR_000521,946,0,2,18,20,91.96,0
USR_000522,301,0,2,17,10,132.64,1
USR_000523,696,0,3,2,25,10.0,1
USR_000524,387,0,2,29,15,159.21,1
USR_000525,287,0,2,3,10,152.7,1
USR_000526,173,1,3,2,10,16.2,1
USR_000527,289,0,2,10,10,80.05,1
USR_000528,276,0,1,58,20,69.73,0
USR_000529,137,1,2,5,10,109.43,1
USR_000530,156,1,1,46,15,55.5,0
USR_000531,330,0,5,7,20,124.49,1
USR_000532,692,0,1,25,30,202.66,0
USR_000533,237,0,1,10,20,118.69,1
USR_000534,61,1,3,3,10,173.44,1
USR_000535,99,1,3,29,15,122.64,1
USR_000536,413,0,4,1,15,55.37,1
USR_000537,74,1,3,16,25,113.25,1
USR_000538,459,0,2,24,15,15.33,1
USR_000539,398,0,4,24,15,128.03,0
USR_000540,231,0,1,14,10,108.34,1
USR_000541,138,1,4,4,15,202.08,1
USR_000542,206,0,3,10,15,149.57,1
USR_000543,324,0,5,13,15,111.4,0
USR_000544,77,1,1,30,25,90.59,1
USR_000545,646,0,2,2,30,141.28,0
USR_000546,322,0,5,8,25,10.0,1
USR_000547,349,0,4,5,25,124.61,0
USR_000548,396,0,2,7,15,103.86,1
USR_000549,605,0,3,2,20,108.16,0
USR_000550,290,0,3,3,15,87.85,1
USR_000551,413,0,2,20,10,194.71,1
USR_000552,140,1,3,9,25,122.18,1
USR_000553,786,0,3,10,10,169.91,0
USR_000554,275,0,2,31,10,99.08,1
USR_000555,139,1,3,3,10,98.15,1
USR_000556,173,1,5,5,10,182.94,1
USR_000557,33,1,3,5,10,155.59,1
USR_000558,172,1,3,15,20,94.64,1
USR_000559,13,1,4,11,25,164.42,1
USR_000560,435,0,2,8,20,68.82,1
USR_000561,341,0,5,15,20,169.22,0
USR_000562,105,1,6,9,20,148.42,1
USR_000563,240,0,4,23,15,116.06,0
USR_000564,249,0,4,7,30,133.43,1
USR_000565,86,1,3,30,15,72.81,1
USR_000566,209,0,2,1,10,103.58,0
USR_000567,255,0,4,1,20,181.37,1
USR_000568,205,0,3,14,25,174.14,1
USR_000569,139,1,2,6,10,74.37,1
USR_000570,101,1,2,8,15,137.07,1
USR_000571,199,1,1,16,20,47.52,1
USR_000572,154,1,5,3,15,185.02,1
USR_000573,378,0,5,0,25,133.64,1
USR_000574,630,0,1,8,15,99.29,0
USR_000575,475,0,6,31,20,17.48,0
USR_000576,261,0,3,8,10,113.67,1
USR_000577,144,1,1,11,30,216.76,1
USR_000578,466,0,3,3,15,106.34,1
USR_000579,394,0,1,8,15,132.9,1
USR_000580,601,0,3,9,20,107.53,0
USR_000581,290,0,5,3,10,95.7,1
USR_000582,759,0,3,2,15,137.85,0
USR_000583,290,0,4,6,15,188.35,1
USR_000584,143,1,5,0,10,139.66,1
USR_000585,167,1,3,2,10,122.02,0
USR_000586,365,0,5,18,25,98.82,1
USR_000587,154,1,2,14,15,126.23,1
USR_000588,755,0,5,5,15,96.58,0
USR_000589,344,0,4,11,15,108.48,1
USR_000590,257,0,1,24,25,161.82,1
USR_000591,273,0,3,25,10,137.3,1
USR_000592,203,0,2,14,20,117.68,1
USR_000593,46,1,1,1,15,39.88,1
USR_000594,167,1,4,2,25,103.57,1
USR_000595,695,0,3,4,20,201.16,0
USR_000596,296,0,2,15,10,161.54,1
USR_000597,512,0,2,4,10,166.5,0
USR_000598,522,0,4,8,10,84.18,1
USR_000599,242,0,1,24,20,193.42,0
USR_000600,398,0,3,31,15,83.95,0
USR_000601,52,1,3,25,10,126.99,1
USR_000602,658,0,2,1,10,81.99,1
USR_000603,623,0,2,33,30,188.34,0
USR_000604,358,0,5,16,25,150.07,1
USR_000605,303,0,2,13,15,175.42,0
USR_000606,245,0,2,3,15,10.0,1
USR_000607,552,0,4,36,15,129.82,0
USR_000608,431,0,4,0,15,72.36,1
USR_000609,186,1,5,1,15,119.68,1
USR_000610,89,1,3,2,15,27.04,1
USR_000611,73,1,1,16,10,76.32,1
USR_000612,548,0,3,13,10,74.15,1
USR_000613,241,0,3,40,10,46.51,0
USR_000614,354,0,1,6,10,97.95,0
USR_000615,265,0,2,5,15,167.52,1
USR_000616,74,1,2,15,20,130.64,1
USR_000617,53,1,2,2,10,75.97,1
USR_000618,175,1,2,8,15,113.37,0
USR_000619,188,1,3,0,15,122.85,1
USR_000620,188,1,3,12,10,167.65,1
USR_000621,192,1,2,21,10,174.03,0
USR_000622,906,0,1,3,20,123.84,0
USR_000623,507,0,4,5,10,125.34,0
USR_000624,299,0,3,1,15,186.4,1
USR_000625,236,0,2,13,10,52.98,0
USR_000626,242,0,2,11,25,100.79,1
USR_000627,420,0,6,24,10,54.21,1
USR_000628,234,0,2,49,15,83.51,1
